codemp;tipcont;tipmov;codart;fecmov;fecintro;orden;almace;seriel;ubicac;cant;prec;moves;clprfab;numdoc;posicion;impmov;pmedpon;tabauxidhis;tipo;datvar1;datvar2;datvar3;datvar4;datvar5;datvar6;feccad;premedpon;cantdobuni;numsec;tipfac;movmanual
001;0;1;MS184A;40501;40506;201011246359202;1;;S/U;4;0;E;00015;CAL10/02853;7;0;0;0;P;;;;0;0;0;2958465;0;0;0;0;N
001;0;1;ICS00104;40417;40506;201011246386353;1;;S/U;2000;0;E;00134;505172;1;0;0;0;P;;;;0;0;0;2958465;0;0;0;0;N
001;0;1;MS184A;40501;40506;201011246397456;1;;S/U;8;0;E;00015;CAL10/02852;22;0;0;0;P;;;;0;0;0;2958465;0;0;0;0;N
001;0;1;MS110D;40476;40506;201011246498739;1;;S/U;388;0;E;00015;cal10/02810;1;0;0;0;P;;;;0;0;0;2958465;0;0;0;0;N
001;0;1;ICS00025;40232;40506;201011246809408;1;;S/U;54;0;E;00134;476084;1;0;0;0;P;;;;0;0;0;2958465;0;0;0;0;N
001;0;1;ICS00128;40232;40506;201011246819291;1;;S/U;300;0;E;00134;480295;4;0;0;0;P;;;;0;0;0;2958465;0;0;0;0;N
001;0;1;ICS00122;40232;40506;201011246824708;1;;S/U;405;0;E;00134;481848;2;0;0;0;P;;;;0;0;0;2958465;0;0;0;0;N
001;0;1;MIS00505;40245;40555;201011246843083;1;;S/U;4000;0;E;00135;10VAL0771;1;0;0.03;0;P;;;;0;0;0;2958465;0;0;0;0;N
001;0;8;MM012A;40521;40521;201012095312322;1;;S/U;1000;0;E;;;0;0;0;411491301;;;;;0;0;0;2958465;0;0;0;0;S
001;0;8;MM012B;40521;40521;201012095313111;1;;S/U;10000;0;E;;;0;0;0;411491301;;;;;0;0;0;2958465;0;0;0;0;S
001;0;1;ICS00076;40512;40521;201012095941702;1;;S/U;50;0;E;00093;3808197851;1;0;0;0;P;;;;0;0;0;2958465;0;0;0;0;N
001;0;1;ICS00076;40512;40521;201012095949230;1;;S/U;50;0;E;00093;3808201058;1;0;0;0;P;;;;0;0;0;2958465;0;0;0;0;N
001;0;1;MIS00264;40521;40521;201012096007821;1;;S/U;10;0;E;00049;4975;2;0;0;0;P;;;;0;0;0;2958465;0;0;0;0;N
001;0;1;MIS00859;40521;40521;201012096075635;1;;S/U;200;0;E;00136;BO647049;1;0;0;0;P;;;;0;0;0;2958465;0;0;0;0;N
001;0;1;PN116AC01;40521;40521;201012096119244;1;;S/U;16;1.5;E;00285;A140;1;24;1.35;0;P;;;;0;0;0;2958465;1.5;0;0;0;N
001;0;1;PN116AC02;40521;40521;201012096122872;1;;S/U;8;1.6;E;00285;A140;2;12.8;1.44;0;P;;;;0;0;0;2958465;1.6;0;0;0;N
001;0;1;PN116AC03;40521;40521;201012096127824;1;;S/U;8;0.75;E;00285;A140;3;6;0;0;P;;;;0;0;0;2958465;0.75;0;0;0;N
001;0;1;PN116AC04;40521;40521;201012096130930;1;;S/U;8;2.75;E;00285;A140;4;22;0;0;P;;;;0;0;0;2958465;2.75;0;0;0;N
001;0;1;PN236AC01;40521;40521;201012096173735;1;;S/U;8;1.5;E;00285;A140;5;12;0;0;P;;;;0;0;0;2958465;1.5;0;0;0;N
001;0;1;PN236AC03;40521;40521;201012096174866;1;;S/U;8;1.75;E;00285;A140;6;14;0;0;P;;;;0;0;0;2958465;1.75;0;0;0;N
001;0;1;PN236AC04;40521;40521;201012096176283;1;;S/U;8;0.85;E;00285;A140;7;6.8;0;0;P;;;;0;0;0;2958465;0.85;0;0;0;N
